Train Episode,Train Score,50-Episode Average
81,-122.89674842885756,-171.97794009249614
82,-184.65827962186472,-172.23092962579784
83,-148.95103024969177,-173.3531145796217
84,-136.9252513519719,-171.3608675174284
85,-216.37323476919084,-174.4672312338954
86,-44.57323735400648,-166.5876063077643
87,-46.25093098121329,-165.8241469947925
88,-184.44214700783948,-167.16642227137137
89,-38.23925796898919,-160.33714323587589
90,-236.86857563546576,-158.9230799328952
91,-139.90761273964785,-151.08300957868923
92,-248.69717142093793,-150.72020275886686
93,-113.93545378976305,-150.5209861555169
94,-114.90363164435531,-149.59087969705263
95,22.83550594766288,-143.94824082542664
96,-70.82582846005553,-144.66115680281513
97,-64.0206012093889,-142.18621545875513
98,-112.09926853703378,-144.25753355917382
99,-264.45302032492816,-145.46448872207415
100,-164.4443999869325,-145.4141149537916
101,-120.6530457366394,-142.01390719075474
102,-62.32313105554446,-141.51065922712024
103,-53.05172661503558,-140.3724903534389
104,-25.258004635094608,-138.58181948971117
105,-104.45310094796054,-137.61963330965125
106,-80.60857761212763,-136.13753585634964
107,-97.69965809243158,-136.74812658069123
108,-92.78969329108317,-134.86830603849606
109,-54.601160963138256,-133.20478993414497
110,-237.94822178002855,-135.41507809636946
111,-176.87351037254732,-135.56037375488626
112,-16.007206091633805,-133.0010018526223
113,-141.67995560728417,-132.34815653402694
114,-77.38081206331366,-131.050943654661
115,-76.74605107255297,-131.50259746681795
116,-42.256818537652464,-129.3610772567456
117,-73.86240456923602,-126.57798362928473
118,-65.84084083784057,-127.41676551804558
119,-73.54367763883432,-126.11238489633132
120,-101.79140011174684,-127.75540611922946
121,-4.731355477241323,-120.58313987911144
122,-135.37488600244245,-120.513391608612
123,-60.72178459230996,-120.78298743469858
124,-55.939394096475866,-116.12649358135869
125,-121.66692884596483,-110.25931871496292
126,-72.52355180763857,-109.07936381758861
127,-242.1507380618912,-113.18361692826461
128,-49.44616808126946,-110.91893342300327
129,-81.40680257016223,-106.30289329449755
130,-55.3076250144437,-105.70536815432075
131,126.30313260395502,-100.72137053366447
132,15.380886319980078,-96.72058721482757
133,-190.76397742489954,-97.55684615833174
134,-54.466153790987605,-95.90766420711205
135,-3.94440573258845,-91.65908762638
136,-105.11880076714125,-92.8699988946427
137,16.787767922098013,-91.60922491657648
138,-11.105139544039034,-88.14248476730049
139,9.111427416047533,-87.19547105959975
140,-63.77698051315599,-83.73363915715352
141,-60.74255140445649,-82.15033793044971
142,-30.448273955139655,-77.78535998113375
143,26.26556083027576,-74.98133968873299
144,-452.925362072919,-81.74177429730426
145,-165.82520833112136,-85.51498858287994
146,39.48908746864021,-83.30869026430602
147,-27.4014913871344,-82.57630806786094
148,-14.092389097723512,-80.61617047907471
149,-412.5618245730592,-83.57834656403735
150,-30.66302717495823,-80.90271910779785
151,-39.65259904822546,-79.28271017402957
152,-43.67241322839674,-78.90969581748662
153,-125.9030149639497,-80.3667215844649
154,-61.34952685862014,-81.08855202893541
155,-121.1155803952321,-81.42180161788083
156,-14.391550254018796,-80.09746107071867
157,-226.97083830497326,-82.6828846749695
158,-139.52182042520144,-83.61752721765185
159,-60.45201194565307,-83.73454423730216
160,-214.10523998081783,-83.25768460131795
161,-225.61208058492988,-84.23245600556558
162,5.982602719196635,-83.79265982934898
163,-83.08157100119402,-82.62069213722718
164,-10.640853962085743,-81.28589297520261
165,-210.601690431348,-83.96300576237853
166,-46.37774419771464,-84.04542427557975
167,3.07388976338126,-82.50669838892742
168,26.798805218454163,-80.65390546780151
169,-29.678682386576437,-79.77660556275634
170,-17.872490509487164,-78.09822737071117
171,-10.184885594594618,-78.20729797305823
172,6.496467919158653,-75.36987089462622
173,103.84863461119548,-72.07846251055611
174,-63.81922957976438,-72.23605922022188
175,-197.7161408502219,-73.75704346030702
176,17.013978007662416,-71.966292864001
177,5.013532299978166,-67.02300745676361
178,-146.53093987183553,-68.96470289257492
179,8.773653379581319,-67.16109377358005
180,-36.57659159546239,-66.78647310520043
181,-52.39325100996915,-70.3604007774789
182,100.15554374715455,-68.66490762893541
183,-144.49657864576886,-67.7395596533528
184,-27.505476367777078,-67.20034610488861
185,-180.48991397722904,-70.73125626978141
186,-72.71629668240618,-70.08320618808672
187,12.221289900873899,-70.17453574851119
188,39.431779142470006,-69.16379737478103
189,-8.217735109608581,-69.51038062529413
190,-76.87378173525552,-69.77231664973611
191,-15.13351334181153,-68.86013588848321
192,-41.149573716867735,-69.07416188371779
193,-179.28963442054982,-73.1852657887343
194,-102.48546578635344,-66.17646786300298
195,-6.873087012185181,-62.99742543662428
196,-27.300974834876087,-64.3332266826946
197,-48.44002910490785,-64.75399743705006
198,-69.4743292746968,-65.86163624058952
199,-33.38821131279654,-58.27816397538427
200,30.03449893663501,-57.064213453152405
201,-66.83156204973501,-57.607792713182604
202,-16.467124931906625,-57.06368694725282
203,-2.552950235066058,-54.596685652675134
204,3.732565076646357,-53.2950438139698
205,-252.33263345677548,-55.91938487520067
206,-36.8599218182689,-56.368752306485675
207,-36.73985387401194,-52.564132617866456
208,-305.3633985874929,-55.88096418111228
209,-125.99771729642676,-57.19187828812776
210,93.15603080979417,-51.046652872315526
211,-122.80881366661308,-48.99058753394918
212,-160.91401360548684,-52.328519860442846
213,20.760548806481957,-50.25167746428933
214,-55.924713436927355,-51.15735465378618
215,-45.93039374427572,-47.863928720044726
216,87.6993606159792,-45.18238662377084
217,-45.36829591715873,-46.15123033738165
218,-35.4527944645846,-47.396262331042415
219,37.27917842000413,-46.05710511491082
220,-314.8668939099109,-51.99699318291928
221,44.363136717448675,-50.906032736678426
222,-234.95992085269486,-55.7351605121155
223,-55.324735098586345,-58.91862790631114
224,-20.909049113625,-58.06042429698835
225,20.45340945729886,-53.69703329083793
226,-37.369274145192406,-54.78469833389502
227,44.31166920830119,-53.99873559572857
228,63.462814545041404,-49.79886050739101
229,2.3973090240573356,-49.92638739450148
230,110.54783484517122,-46.983898865688815
231,209.98251306108574,-41.73638358426771
232,-43.84684913907182,-44.61643144199223
233,62.96681993230275,-40.467163470430805
234,155.11993606227506,-36.814655221829774
235,67.87274569944478,-31.84740202829629
236,-39.49136051965445,-31.182903305041254
237,-32.65656640082112,-32.08046043107516
238,93.9109042324497,-30.990877929275555
239,11.942272975293372,-30.58767776757752
240,-33.68448464114391,-29.72389182569529
241,127.28486820262427,-26.875524194806577
242,61.8761526217949,-24.815009668033316
243,111.04505881954293,-19.008315803231476
244,-65.62071980598795,-18.271020883624168
245,-67.51214607106311,-19.483802064801722
246,7.135553456117435,-18.795071498981855
247,42.82636342861562,-16.969743648311375
248,-16.90579710308343,-15.918373004879115
249,-27.123177407120792,-15.793072326765605
250,27.086677007744598,-15.852028765343407
251,-61.78437800167961,-15.751085084382307
252,3.4018556568300937,-15.35370547260757
253,-67.38309313433818,-16.650308330593017
254,-91.40130547290968,-18.55298574158413
255,-64.02804569567743,-14.786893986362172
256,-13.20661181522675,-14.313827786301328
257,-37.967600496817255,-14.338382718757439
258,68.43148887331665,-6.862484969541238
259,268.3425866810237,1.02432111000777
260,-9.398611953353921,-1.0267717452551919
261,152.01633164422165,4.469731160961502
262,115.92724905678125,10.006556414206864
263,-58.322719761912836,8.424891042838967
264,85.1474395003462,11.246334101584441
265,20.110005173786917,12.56714207994569
266,70.12136300303189,12.215582127686746
267,116.07730912788179,15.444494228587555
268,-104.22414007338284,14.069067316411592
269,9.333203554826579,13.51014781910804
270,107.92062421741467,21.96589818165455
271,-26.955893083929837,20.539517585626978
272,19.117531445534624,25.621066631591567
273,-179.8025651586649,23.13151003038999
274,12.63954356088685,23.802481883880223
275,-8.806516678867453,23.217283361156902
276,32.42957327880171,24.61326030963678
277,34.21293447561217,24.411285614982997
278,-1.6833022079120212,23.10836327992394
279,26.432535977798537,23.58906781899876
280,-45.61459853428087,20.465819151409725
281,-70.69462305541104,14.852276429079796
282,112.94120807208654,17.98803757330296
283,-125.06429400171271,14.227415294622652
284,-137.19278247277734,8.381160923921605
285,15.93787109051757,7.34246343174306
286,256.08627601655303,13.254016162467208
287,13.627927332291875,14.17970603712947
288,-14.747251666686026,12.006542919146748
289,-33.178255888406255,11.10413234187276
290,102.5122424194638,13.828066883084917
291,-55.37260870261867,10.174917344980054
292,-90.36327013016128,7.130128889940929
293,-33.33368813873861,4.2425539507753
294,-12.791957352419587,5.299129199846668
295,-37.505499205793996,5.89926213715205
296,225.34953805123254,10.263541829054354
297,41.44789048591912,10.235972370200422
298,-124.10374124422842,8.092013487377523
299,-114.55453598556221,6.343386315808698
300,-29.01488300295007,5.2213551155948
301,-20.261602186481497,6.051810631898763
302,85.26762651148881,7.6891260489919375
303,87.3829800931781,10.784447513542263
304,74.04203919447076,14.093314406889876
305,190.3708167389222,19.181291655581873
306,-78.87424712598485,17.86793894936671
307,247.32160627744355,23.573723084851927
308,190.6642917085552,26.018379141556697
309,71.61389926719961,22.083805393280212
310,244.88814975342353,27.16954062741576
311,-104.4618987415972,22.03997601969938
312,91.51849669692564,21.551800972502264
313,-13.182310383105559,22.454609160078412
314,-31.007676614842907,20.131506837774634
315,49.35409173490336,20.71638856899696
316,141.57763950276012,22.14551409899152
317,-94.08225862692062,17.942322743895474
318,-176.33373568499206,16.50013083166329
319,74.13859962202682,17.796238753007295
320,-67.40203288157674,14.289785611027463
321,-76.22789984483252,13.30434547580941
322,194.69209745983395,16.815836796095397
323,-23.365262215243973,19.944582854963823
324,223.19802175976073,24.155752418941297
325,239.70082764113826,29.12589930534141
326,-35.87547410278397,27.7597983577097
327,-33.77283211171796,26.40008302596309
328,-15.108803201660251,26.13157300608813
329,-176.92792240021194,22.06436383852792
330,172.0080151549179,26.416816112311896
331,171.22160182280953,31.25514060987631
332,71.77663315783961,30.43184911159137
333,204.14876626850605,37.01611031699574
334,164.86954716791575,43.05735690980961
335,179.66189470132255,46.331837382025704
336,49.02711308547423,42.19065412340413
337,-165.61159660379133,38.605863644682465
338,197.51489404772215,42.85110655897062
339,85.19421935910295,45.218556063920815
340,-53.813676190414384,42.092037691723256
341,219.01697668091026,47.57982939939383
342,-42.99141211255204,48.527266559746025
343,106.24668107439928,51.31887394400877
344,2.625971599053429,51.627232523038245
345,186.4304700135013,56.10595190742414
346,159.99576654865578,54.798876477372616
347,-11.980624907454313,53.73030616950513
348,137.83605480642484,58.9691020905182
349,241.63026383779913,66.09279808698544
350,-173.9743721107771,63.193608304828885
351,269.9859555711362,68.99855945998124
352,71.27325627671748,68.71867205528582
353,-199.81218923253994,62.97476866877146
354,-16.235518533175437,61.16921751421854
355,24.832843424894307,57.85845804793797
356,224.85183502859388,63.93297969102955
357,-7.280505487126419,58.84093745573813
358,-112.71136204551777,52.77342438065668
359,-81.97758698565923,49.7015946555995
360,3.3270686243705256,44.87037303301845
361,258.26799746570305,52.12497095716445
362,8.147046352752852,50.457541950281005
363,-8.215031851958344,50.55688752090395
364,161.63108045900145,54.409662662380825
365,-58.782314708567924,52.246934533511414
366,7.205238593343935,49.55948651532308
367,78.23125066124769,53.005756701086455
368,-87.24129687374771,54.78760547731134
369,24.83055344242671,53.80144455371933
370,200.0425391449228,59.150335994249325
371,106.59232107554296,62.80674041265683
372,221.2093466528333,63.33708539651682
373,222.47485948483217,68.25388783051834
374,122.74835862842772,66.24489456789169
375,-234.08133070620772,56.76925140094477
376,221.67685708545224,61.9202980247095
377,227.6179920595434,67.14811450813473
378,233.34506814436878,72.1171919350553
379,222.45384904985804,80.1048273640567
380,76.03324955124822,78.18533205198331
381,-128.8336766662838,72.18422648220144
382,-20.951454075252258,70.3296647375396
383,234.18273048747412,70.93034402191896
384,239.2329752623052,72.41761258380674
385,-25.25537136945475,68.31926726239121
386,-9.858647867904239,67.14155204332363
387,207.35585034318265,74.60090098226311
388,146.2684680509611,73.5759724623279
389,164.3303544742741,75.15869516463131
390,202.20061237943375,80.27898093602826
391,-120.78674661455881,73.48290647011888
392,74.2744801728153,75.82822431582623
393,-203.24055951592686,69.6384795040197
394,212.6538382428702,73.83903683689604
395,109.36414799452939,72.29771039651659
396,238.82658783796637,73.8743268223028
397,-271.9239880933859,68.67545955858418
398,181.30016687908068,69.54474180003729
399,205.9321772618762,68.83078006851885
400,-79.35154765132819,70.72323655770782
401,230.5486526912111,69.93449050010932
402,-87.57775975687748,66.75747017943742
403,263.2938149654848,76.01959026339792
404,227.9869837896381,80.90404030985418
405,-11.855382158167004,80.17027579819296
406,-29.354138494147122,75.08615632773814
407,-79.68118573507427,73.63814272277916
408,-48.47145613933661,74.9229408409028
409,217.7574978786207,80.91764253818839
410,173.074330298224,84.31258777166546
411,244.7276683058936,84.04178118846927
412,300.23377642722767,89.88351578995878
413,289.60796797485887,95.83997578649513
414,271.42130736565844,98.03578032462826
415,272.31790827820123,104.65778478436364
416,263.5078314950964,109.7838366423987
417,235.3252837718618,112.92571730461098
418,241.98186473112014,119.51018053670832
419,-61.710434061374585,117.77936078663234
420,-214.17634467720006,109.49498311018988
421,244.0057428529413,112.24325154573782
422,263.4860233260928,113.08878507920305
423,236.37967348050762,113.36688135911652
424,233.1436410789617,115.57478700812722
425,212.2983426144453,124.50238047454027
426,173.8834251980428,123.5465118367921
427,-171.46606060082274,115.56483078358477
428,9.502419073499624,111.08797780216739
429,198.45032677551833,110.60790735668058
430,33.84503558229218,109.76414307730147
431,242.0699010020952,117.18221463066907
432,-149.20576754565877,114.61712836126091
433,213.7596250447724,114.20866625240687
434,243.50960110632977,114.29419876928736
435,15.547387173252815,115.1102539401415
436,253.50886593913913,120.37760421628238
437,186.82652257940478,119.96701766100684
438,192.7048780652372,120.89574586129237
439,-31.51871636363755,116.97876444453414
440,220.11469692423967,117.33704613543023
441,261.54209204220456,124.98362290856552
442,-445.5930279626982,114.58627274585524
443,-249.25206059311176,113.66604272431155
444,114.16626650367438,111.69629128952762
445,36.46352192962701,110.23827876822958
446,254.4721797097356,110.551190605665
447,197.46803479909934,119.93903106351466
448,186.68707952020026,120.0467693163371
449,160.1274156881833,119.13067408486324
450,176.49059754759088,124.24751698884161
451,1.7990068788280524,119.67252407259397
452,218.7900288272827,125.79987984427719
453,26.280088331362805,121.05960531159474
454,-71.84265829275603,115.06301246994684
455,-204.90664352744298,111.20198724256136
456,-130.6900864087381,109.17526828426954
457,-7.055963308071739,110.62777273280955
458,225.29188181074002,116.1030394918111
459,200.09346409804908,115.74975881619966
460,209.30690484771355,116.47441030718944
461,-45.43614676610409,110.6711340057495
462,-209.95280645917882,100.46740234802137
463,41.03789955462776,95.49600097961671
464,221.51946495100157,94.49796413132357
465,221.58102336147135,93.48322643298897
466,220.13371822636793,92.61574416761438
467,221.3229715092114,92.33569792236138
468,10.073878143996765,87.69753819061893
469,199.56940084120825,92.92313488867057
470,248.52352275192743,102.17713223725313
471,283.47409739860836,102.96649932816646
472,164.7271622866377,100.99132210737734
473,207.62844768089195,100.41629759138505
474,220.9190496330948,100.17180576246773
475,221.72896312796556,100.36041817273814
476,210.63528970823631,101.09545546294198
477,44.393586938367235,105.4126484137258
478,252.35391714658118,110.26967837518742
479,258.0751977681276,111.4621757950396
480,-63.80551075411593,109.50916486831146
481,241.5432878360614,109.49863260499077
482,222.35280934738702,116.92980414285168
483,239.67666304925982,117.44814490294142
484,221.16718398039103,117.00129656042265
485,220.26412437563437,121.09563130447027
486,233.09700826183618,120.68739415092423
487,202.18272354578454,120.99451817025184
488,30.156867583165365,117.74355796061037
489,226.09302204352804,122.89579272875372
490,19.986732955984436,118.8932334493886
491,220.20535785292248,118.06649876560296
492,-44.82380200251275,126.08188328480666
493,-9.89588976357939,130.86900670139732
494,-94.7981506729849,126.68971835786414
495,286.9625395584415,131.69969871044043
496,193.84738439668254,130.48720280417936
497,-97.39876000602322,124.58986690807689
498,232.03280073822975,125.4967813324375
499,-86.55504342763962,120.56313215012104
500,-39.50738267666527,116.2431725456359
501,256.5834289297469,121.3388609866543
502,199.9666870088204,120.96239415028502
503,210.5944908464838,124.64868220058744
504,-114.05332458171625,123.80446887480825
505,245.7545980176879,132.8176937057109
506,196.4263751927857,139.36002293774135
507,182.90141697597443,143.15917054342228
508,-57.08006456572773,137.51173161589293
509,208.8354869617469,137.6865720731669
510,207.1619474762371,137.64367292573738
511,208.9558603118832,142.7315130672971
512,211.11904781649778,151.15295015281063
513,229.95667234391797,154.93132560859647
514,125.24749285576323,153.00588616669168
515,93.70927039690325,150.4484511074003
516,189.7099074892601,149.83997489265815
517,204.01001212227476,149.49371570491942
518,-21.09182520790948,148.8704016378813
519,238.85515931820407,149.65611680742123
520,212.8975046021659,148.943596444426
521,263.2969848674385,148.5400541938026
522,256.4186306281267,150.37388356063238
523,271.9766083526252,151.66084677406704
524,278.9758316443606,152.82198241429234
525,170.7269965158191,151.80194308204943
526,-17.620821931644528,147.23682084925179
527,263.845502081688,151.6258591521182
528,220.83445350085205,150.9954698792036
529,23.501934927857533,146.30400462239822
530,235.65668012658332,152.2932484400122
531,266.9051302635088,152.80048528856113
532,287.8479145240302,154.11038739209397
533,34.05018715664383,149.9978578742417
534,258.3968028141388,150.74245025091665
535,260.1297192946095,151.53976214929614
536,-82.78776764462958,145.22206663116683
537,243.07523749622086,146.03991691017555
538,250.98073976517443,150.4563943538157
539,219.3957838011729,150.32244958896862
540,-165.27389205786267,146.6172370886917
541,265.3541338481227,147.52021260859567
542,185.52688575722144,152.12722636379038
543,-199.54013628129502,148.33434143343607
544,-209.043779786669,146.0494288511624
545,-29.1930750732254,139.72631655852908
546,225.52130534466107,140.35979497748866
547,184.68258542716583,146.00142188615243
548,24.656238856779254,141.8538906485234
549,234.75241491687754,148.28003981541377
550,275.68367082762825,154.5838608854996
551,-17.08899657789557,149.11041237534675
552,4.010368054852648,145.19128599626742
553,-25.985985062855235,140.45967647808064
554,204.3130335020693,146.82700363975633
555,-74.09994750386073,140.42991272932537
556,223.2715621059716,140.9668164675891
557,19.953776665325137,137.70786366137608
558,247.57566909775895,143.8009783346458
559,-174.37834976903287,136.13670160003022
560,-74.69587013114179,130.49954524788268
561,213.22924165926835,130.58501287483034
562,-3.681436988891841,126.28900317872258
563,-101.10090464082614,119.66785163902769
564,64.07458743754796,118.4443935306634
565,196.66030497159983,120.5034142221573
566,-40.32283581044072,115.9027593561633
567,216.31920968490488,116.1489433074159
568,146.9119996765295,119.50901980510469
569,240.7000868517051,119.54591835577469
570,-284.1401884853194,109.60516449402498
571,241.15085968041097,109.16224199028444
572,288.84977539650185,109.81086488565194
573,267.829439403241,109.72792150666426
574,121.63966353062258,106.58119814438949
575,251.01480330601098,108.18695428019333
576,241.64107014335693,113.37219212169337
577,131.45296905701278,110.72434146119986
578,100.60308068682036,108.31971400491922
579,254.70850601556998,112.94384542667345
580,242.56194103842273,113.08195064491025
581,220.30248408621128,112.14989772136428
582,-23.010222194828756,105.93273498698713
583,124.63980941717355,107.7445274321977
584,220.07969143016686,106.97818520451827
585,10.568873598734953,101.98696829060079
586,64.00380055844028,104.92279965466217
587,-241.17246881184994,95.23784552850074
588,-216.3057280707912,85.89211617178147
589,236.49400809233651,86.23408065760472
590,102.6567761074202,91.59269402091039
591,-472.37018543668916,76.83820763521415
592,139.41569755879567,75.91598387124564
593,277.5929284675378,85.45864516622231
594,-57.07318783769945,88.4980570052017
595,218.91789281277556,93.4602763629217
596,26.353403534692546,89.47691832672236
597,194.388548758707,89.67103759335316
598,282.6546612721223,94.83100604166002
599,230.5902202239519,94.74776214780154
600,256.586161505726,94.36581196136348
601,287.0452020526677,100.44849593397474
602,238.36973351626338,105.13568324320295
603,233.43366196999415,110.32407618385993
604,186.87053975984577,109.97522630901547
605,238.3657354555568,116.22453996820383
606,3.4627297409548987,111.82836332090348
607,-33.33468840721646,110.76259401945266
608,268.6166249090461,111.18341313567842
609,212.20053252779687,118.91499078161502
610,263.6975120118759,125.68285842447536
611,188.1450065963793,125.18117372321758
612,214.22953867150625,129.53939323642552
613,-49.42102927464734,130.5729907437491
614,259.3896414906311,134.47929182481076
615,296.90780443004826,136.48424181397976
616,238.33478101405908,142.05739415046975
617,265.1321501980743,143.03365296073315
618,284.66375262780514,145.78868801975867
619,-42.51691751020172,140.1243479325205
620,288.36494967923045,151.57445069581152
621,285.0504664347676,152.45244283089866
622,238.38167565601893,151.443080836089
623,265.4113052828783,151.3947181536817
624,286.83072078506683,154.69853929877058
625,284.7757542857138,155.37375831836462
626,263.0229902346871,155.80139672019124
627,276.55048224446136,158.7033469839402
628,281.56353955103293,162.32255616122447
629,-123.97314425671605,154.74892315577873
630,221.32208560887528,154.3241260471878
631,14.890393328047026,150.21588423202448
632,275.93159479375083,156.1947205717961
633,245.45189899221396,158.6109623632969
634,255.43447996231268,159.31805813393981
635,252.4351521060143,164.1553837040854
636,-201.0556386821478,158.85419491927362
637,120.20410439741647,166.081726383459
638,228.24369332140006,174.9727148113028
639,224.87760007329229,174.7403866509219
640,286.3390539784699,178.41403220834292
641,237.52753226775556,192.6119865624318
642,234.8806514523046,194.52128564030198
643,216.83690115671243,193.30616509408546
644,234.6640053570256,199.14090895797995
645,41.96119169233694,195.60177493557114
646,9.684835364060802,195.26840357215858
647,239.60722512940154,196.17277709957244
648,-76.48113189562787,188.99006123621746
649,236.43013975373248,189.1068596268131
650,264.88468211739837,189.27283003904654
651,219.86982296689794,187.9293224573311
652,153.06521826069186,186.2232321522197
653,-13.071369368660672,181.29313152544654
654,226.29665719565622,182.08165387416275
655,224.35137760761657,181.801366717204
656,212.93683905132895,185.99084890341143
657,18.565522297734717,187.02885311751044
658,226.68721439919045,186.1902649073134
659,262.30974972924406,187.19244925134234
660,0.2932930765417008,181.92436487263564
661,214.92652416531888,182.4599952240145
662,204.8506491932801,182.27241743445
663,310.76468692466256,189.47613175843617
664,6.219886496632654,184.41273665855613
665,-60.09487202670395,177.2726831294211
666,193.98576754787322,176.38570286009733
667,213.80815578661202,175.35922297186815
668,232.24833010928322,174.31091452149775
669,203.1433969714161,179.2241208111301
670,231.381397404534,178.08444976563615
671,262.0917427258583,177.625275291458
672,236.33252681030652,177.58429231454375
673,181.29055349594825,175.90187727880516
674,134.5881148895011,172.85702516089384
675,213.69442613394125,171.43539859785835
676,220.96178732897224,170.59417453974405
677,275.5019045617437,170.57320298608968
678,264.6726947306494,170.23538608968204
679,-23.455537956102674,172.2457382156943
680,275.722468872059,173.33374588095802
681,-108.20796661738596,170.87177868204932
682,241.70524933168434,170.18725177280803
683,220.7242069769654,169.69269793250302
684,198.86147768558237,168.56123788696846
685,253.13699547397562,168.57527475432767
686,268.00935392712483,177.95657460651313
687,271.6884419314668,180.98626135719414
688,199.47980041139016,180.41098349899391
689,255.2805348635196,181.01904219479846
690,203.50693666654138,179.3623998485599
691,280.73491929263383,180.22654758905745
692,266.3574727002525,180.8560840140164
693,228.75373452831965,181.09442068144853
694,242.91851850946128,181.25951094449724
695,246.14725420337345,185.34323219471796
696,220.35617084325398,189.5566589043018
697,255.75883740753613,189.87969114986453
698,202.97923806545003,195.4688985490861
699,266.56866351673955,196.07166902434628
700,244.42393664524357,195.66245411490317
701,271.42190546632077,196.6934957648916
702,237.35074740110142,198.3792063476998
703,237.58123235384716,203.39225838214995
